title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://bayramaliyev-todolist.streamlit.app;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://bayramaliyev-portfolio.streamlit.app;2.png
Library Management System;A console-based application written in C for managing books, members, and transactions in a simple library system.;https://github.com/Bayrii/Library_Management_System;0.png
